city,country_name,place_name
Berat,Albania,Historic Centres of Berat and Gjirokastër
Berat,Albania,Tourist attractions in Berat
Berat,Albania,Church of the Holy Trinity 
Berat,Albania,Berat Castle
Berat,Albania,Church of St. Theodore 
Berat,Albania,Ethnographic Museum of Berat
Berat,Albania,Gorica Bridge
Berat,Albania,Onufri Iconographic Museum
Berat,Albania,St. Mary of Blachernae Church 
Berat,Albania,Church of St. Michael 
Fier,Albania,Archaeological Museum of Apolonia
Fier,Albania,Fier Mosque
Korçë,Albania,Andon Zako Çajupi Theatre
Korçë,Albania,"French Military Cemetery, Korçë"
Korçë,Albania,"Martyrs' Cemetery, Korçë"
Korçë,Albania,Mirahori Mosque
Korçë,Albania,Bratko Museum of Oriental Art
Korçë,Albania,Archaeological Museum of Korçë
Korçë,Albania,National Museum of Medieval Art 
Korçë,Albania,Old Bazaar of Korçë
Korçë,Albania,"Resurrection Cathedral, Korçë"
Shkodër,Albania,"Lead Mosque, Shkodër"
Shkodër,Albania,Mesi Bridge
Shkodër,Albania,The Englishman's Tower
Shkodër,Albania,"St. Stephen's Cathedral, Shkodër"
Shkodër,Albania,"Nativity Cathedral, Shkodër"
Tirana,Albania,Alban Tower
Tirana,Albania,Ambasador III
Tirana,Albania,The Beauty of Durrës
Tirana,Albania,The Book Building
Tirana,Albania,Botanical Gardens 
Tirana,Albania,Dorëzi Fortress
Tirana,Albania,Downtown One
Tirana,Albania,Eyes of Tirana
Tirana,Albania,Farka Lake
Tirana,Albania,Fortress of Justinian
Sarandë,Albania,"Blue Eye, Albania"
Algiers,Algeria,Al Qods Shopping Mall
Algiers,Algeria,Ardis 
Algiers,Algeria,Bab Ezzouar Shopping Mall
Algiers,Algeria,Botanical Garden Hamma
Algiers,Algeria,Cathédrale du Sacré-Cœur d'Alger
Algiers,Algeria,Ketchaoua Mosque
Algiers,Algeria,Maqam Echahid
Algiers,Algeria,Notre-Dame d'Afrique
Algiers,Algeria,Tamentfoust
Oran,Algeria,Albert Camus
Oran,Algeria,Miguel de Cervantes
Oran,Algeria,Paris
Oran,Algeria,Marseille
Oran,Algeria,Casablanca
Oran,Algeria,Lisbon
Oran,Algeria,Paul Bowles
Oran,Algeria,Arturo Pérez-Reverte
Oran,Algeria,Moriscos
Oran,Algeria,ITV
Buenos Aires,Argentina,Timeline
Buenos Aires,Argentina,Climate
Buenos Aires,Argentina,Tourism
Buenos Aires,Argentina,Category
La Plata,Argentina,Cathedral of La Plata
La Plata,Argentina,Estadio Único Diego Armando Maradona
La Plata,Argentina,Curutchet House
La Plata,Argentina,Estadio Jorge Luis Hirschi
La Plata,Argentina,La Plata Museum
La Plata,Argentina,Teatro Argentino de La Plata
Palermo,Argentina,Albergaria 
Palermo,Argentina,Arab-Norman Palermo and the Cathedral Churches of Cefalù and Monreale
Palermo,Argentina,Catacombe dei Cappuccini
Palermo,Argentina,"Cassaro, Palermo"
Palermo,Argentina,"Castellammare, Palermo"
Palermo,Argentina,Kalsa
Palermo,Argentina,Mondello
Palermo,Argentina,"Monte di Pietà, Palermo"
Palermo,Argentina,Mount Pellegrino
Palermo,Argentina,Ponte dell'Ammiraglio
Ticino,Argentina,Ascona Jazz Festival
Ticino,Argentina,Brissago Islands
Ticino,Argentina,Castles of Bellinzona
Ticino,Argentina,Estival Jazz
Ticino,Argentina,Gotthard Pass
Ticino,Argentina,Locarno Film Festival
Ticino,Argentina,Lugano Cathedral
Ticino,Argentina,"Madonna del Sasso, Switzerland"
Ticino,Argentina,Memorial Mario Albisetti
Ticino,Argentina,Monte Verità
Gyumri,Armenia,Kumayri historic district
Gyumri,Armenia,"Mother Armenia, Gyumri"
Yerevan,Armenia,"Blue Mosque, Yerevan"
Yerevan,Armenia,Cascade Memorial to the Victims of Soviet Repression
Yerevan,Armenia,"Charles Aznavour Square, Yerevan"
Yerevan,Armenia,Dalma Garden Mall
Yerevan,Armenia,Elite Plaza Business Center
Yerevan,Armenia,Erebuni Fortress
Yerevan,Armenia,Garegin Nzhdeh Square
Yerevan,Armenia,Hrazdan Stadium
Yerevan,Armenia,Karen Demirchyan Complex
Yerevan,Armenia,Khachatur Abovyan Park
Canberra,Australia,Australia Day Live Concert
Canberra,Australia,Australian Centre for Christianity and Culture
Canberra,Australia,Australian National Botanic Gardens
Canberra,Australia,Australian War Memorial
Canberra,Australia,Big Splash Waterpark Canberra
Canberra,Australia,Canberra Centenary Column
Canberra,Australia,Canberra Theatre Centre
Canberra,Australia,Captain James Cook Memorial
Canberra,Australia,Casino Canberra
Canberra,Australia,Cockington Green Gardens
Aberdeen,Australia,Aberdeen Arts Centre
Aberdeen,Australia,List of places in Aberdeen
Aberdeen,Australia,Aberdeen Student Show
Aberdeen,Australia,Beach Ballroom
Aberdeen,Australia,"Central Library, Aberdeen"
Aberdeen,Australia,Codona's Amusement Park
Aberdeen,Australia,Culture in Aberdeen
Aberdeen,Australia,Doonies Farm
Aberdeen,Australia,"King's College, Aberdeen"
Aberdeen,Australia,Mitchell's Hospital Old Aberdeen
Barnsley,Australia,Burntwood Hall
Barnsley,Australia,Cannon Hall
Barnsley,Australia,Cannon Hall Farm
Barnsley,Australia,Elsecar Heritage Centre
Barnsley,Australia,Elsecar Heritage Railway
Barnsley,Australia,Hartcliff Folly
Barnsley,Australia,Houndhill
Barnsley,Australia,Monk Bretton Priory
Barnsley,Australia,RSPB Dearne Valley Old Moor
Barnsley,Australia,Wentworth Castle
Alexandria,Australia,Alexandria National Museum
Alexandria,Australia,Alexandria Naval Unknown Soldier Memorial
Alexandria,Australia,Bibliotheca Alexandrina
Alexandria,Australia,Catacombs of Kom El Shoqafa
Alexandria,Australia,El Nouzha Airport
Alexandria,Australia,"Marina, Egypt"
Alexandria,Australia,List of mosques in Alexandria
Alexandria,Australia,Shallalat Gardens
Alexandria,Australia,"Tahrir Square, Alexandria"
Alexandria,Australia,Alexandria Zoo
Cardiff,Australia,Cardiff Bay
Cardiff,Australia,Cardiff Centenary Walk
Cardiff,Australia,Cardiff Central Library
Cardiff,Australia,Cardiff International Food and Drink Festival
Cardiff,Australia,Cardiff International Pool
Cardiff,Australia,Cardiff International Sports Village
Cardiff,Australia,Leisure centres in Cardiff
Cardiff,Australia,List of cultural venues in Cardiff
Cardiff,Australia,List of shopping arcades in Cardiff
Cardiff,Australia,Mermaid Quay
Camden,Australia,"Category:Tourist attractions in Camden County, Georgia"
Camden,Australia,"Category:Tourist attractions in Camden County, Missouri"
Camden,Australia,"Category:Tourist attractions in Camden County, New Jersey"
Camden,Australia,"Category:Tourist attractions in Camden County, North Carolina"
Como,Australia,Life Electric
Liverpool,Australia,Liverpool
Liverpool,Australia,Liverpool City Region § Economy
Liverpool,Australia,Merseyside § Economy
Liverpool,Australia,Architecture
Liverpool,Australia,listed buildings
Liverpool,Australia,tallest buildings
Liverpool,Australia,Companies
Liverpool,Australia,Council
Liverpool,Australia,Culture
Liverpool,Australia,music
Maryland,Australia,Washington–Baltimore
Maryland,Australia,Baltimore
Maryland,Australia,Republican
Maryland,Australia,Jousting
Maryland,Australia,Lacrosse
Maryland,Australia,Anne Arundel County Public Library
Maryland,Australia,Baltimore County Public Library
Maryland,Australia,Cecil County Public Library
Maryland,Australia,Enoch Pratt Free Library
Maryland,Australia,Harford County Public Library
Toronto,Australia,General outline
Toronto,Australia,Demographics
Toronto,Australia,Name
Toronto,Australia,Flag
Toronto,Australia,Coat of arms
Toronto,Australia,Sister cities
Toronto,Australia,Notable Torontonians
Toronto,Australia,Oldest buildings
Toronto,Australia,Lost
Toronto,Australia,National Historic Sites
Wyoming,Australia,Fort Bridger Rendezvous
Wyoming,Australia,Historic Cody Mural Chapel
Wyoming,Australia,Vedauwoo
Alice Springs,Australia,Alice Springs Beanie Festival
Alice Springs,Australia,Alice Springs Desert Park
Alice Springs,Australia,Alice Springs Reptile Centre
Alice Springs,Australia,Alice Springs School of the Air
Alice Springs,Australia,Alice Springs Telegraph Station
